order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2480458,79372,prior,74,1,10,3.0
2841440,158992,prior,28,3,14,5.0
109741,20270,prior,2,6,17,9.0
821775,42115,prior,5,2,11,30.0
3320574,65157,prior,14,5,17,5.0
3130577,170797,prior,7,5,10,19.0
1501948,189997,prior,7,0,15,30.0
1452335,105992,prior,4,5,21,0.0
3073380,78978,prior,9,6,13,14.0
1452975,187007,prior,45,4,14,7.0
1788967,87675,train,21,1,18,11.0
370765,136054,prior,9,6,18,4.0
3094131,121708,prior,17,1,13,18.0
2648275,120296,prior,44,2,8,2.0
750687,154059,prior,26,4,12,3.0
1038181,136134,prior,11,4,15,4.0
979184,59998,prior,22,0,11,21.0
3240850,62153,prior,1,0,11,
659423,2564,prior,2,3,20,2.0
3061646,531,prior,13,4,9,30.0
1136568,56274,prior,45,1,11,6.0
2044074,123621,prior,6,6,13,1.0
1997989,48247,prior,19,0,9,6.0
2986764,104831,prior,30,2,19,5.0
1845919,39305,prior,23,1,11,0.0
2334940,184844,prior,8,0,19,2.0
1459029,31814,prior,3,0,9,30.0
1607987,53155,prior,2,4,11,21.0
2635180,129775,prior,11,0,13,5.0
3158550,84521,prior,33,4,13,5.0
2783506,164814,prior,6,0,15,18.0
63218,202120,prior,18,0,9,6.0
587844,131526,prior,15,4,15,9.0
2587350,36826,prior,13,4,15,0.0
2734504,69439,prior,1,0,10,
2852159,18232,prior,7,6,11,27.0
165613,879,prior,21,5,14,7.0
2338081,178223,prior,13,1,9,0.0
2674964,175725,prior,17,0,16,2.0
1699027,187507,prior,8,2,13,2.0
1880942,154158,test,26,5,8,2.0
3165105,109904,prior,6,5,14,1.0
3119816,174374,prior,2,0,10,18.0
651916,178910,prior,10,2,10,7.0
2874647,205859,prior,5,2,7,27.0
2403632,116051,prior,46,0,16,2.0
1272442,63703,prior,1,0,20,
1521001,113886,prior,1,3,13,
685542,19877,train,15,2,20,4.0
2463033,35456,prior,17,4,17,2.0
1557804,157719,prior,16,3,10,3.0
2788525,25376,prior,9,0,17,30.0
1103391,129027,prior,34,0,10,4.0
2834421,147944,prior,22,1,8,14.0
2818894,187780,prior,3,4,14,14.0
2292271,14991,prior,1,6,21,
3189485,5137,prior,6,0,9,14.0
649539,117527,prior,3,1,12,30.0
2083049,201935,prior,6,0,10,22.0
3007018,200036,prior,1,1,14,
706802,142735,prior,29,6,21,4.0
921344,148871,test,23,2,11,30.0
3214515,15691,prior,13,2,16,9.0
188852,104826,prior,4,5,11,18.0
2509414,22523,train,11,2,19,30.0
975237,181450,prior,5,6,10,6.0
2366391,200130,prior,11,5,10,20.0
3176391,34527,prior,1,2,12,
3138128,51853,prior,39,6,9,7.0
3349766,123669,prior,1,0,16,
1158909,105171,prior,49,3,19,1.0
1565911,55935,prior,94,2,13,5.0
751199,78348,prior,6,1,18,30.0
198640,146155,prior,6,6,11,28.0
1174305,27639,prior,36,5,15,10.0
1331281,57922,prior,11,4,10,21.0
1590250,164456,prior,5,5,9,15.0
1524027,92313,prior,10,0,18,4.0
1151138,53214,prior,2,2,14,7.0
2784865,3384,prior,9,5,16,9.0
577538,3190,prior,55,4,15,3.0
3368317,31796,prior,6,6,13,15.0
254502,26986,prior,44,6,17,3.0
2317524,169410,prior,14,0,15,29.0
407574,141498,prior,38,6,16,12.0
1597608,62250,prior,9,6,14,24.0
1154656,89820,prior,8,5,19,13.0
1495269,43682,prior,50,6,14,1.0
2498889,82073,prior,13,6,11,9.0
3409126,37219,prior,8,1,9,6.0
2842870,41417,prior,6,1,14,2.0
2001826,194310,prior,37,4,9,1.0
