order_id,product_id,add_to_cart_order,reordered
3109255,34099,16,0
301098,41950,5,0
1181866,45066,8,0
1678630,8859,2,1
644090,24781,2,0
557169,11440,19,1
737337,13176,7,1
1389978,12033,3,1
443457,19190,13,1
1649178,30169,4,1
2200652,38890,2,1
1149773,39561,46,1
2196443,47011,10,0
825525,42615,11,0
1152463,31555,5,1
1017343,47196,4,0
2672875,4605,4,1
1893069,6187,11,0
1411821,37220,12,1
1398417,22802,1,0
2178421,27454,6,1
357043,36431,25,1
3013261,32684,4,1
2262426,16797,4,1
627333,6873,1,0
2942867,13515,11,0
739587,45854,7,0
2694757,23909,4,0
3268636,19057,9,1
2218827,39928,6,1
820578,2086,4,1
1881664,47626,10,1
693424,23452,1,1
18254,35921,2,1
452168,48775,6,1
2693281,23400,8,0
775615,258,5,1
2682376,48857,2,1
1720496,27845,1,1
2369662,19678,4,1
2715127,43504,44,1
1793502,7228,5,0
101436,24852,8,1
2209160,44449,3,1
2298282,9472,36,1
1475624,27925,2,0
366058,24746,2,1
2105193,10132,18,1
2572049,29256,14,1
1600484,16797,11,1
255571,41950,6,1
359657,43789,10,1
1329558,41079,11,1
2631670,19660,4,1
2846731,49683,25,1
3033867,41844,13,0
817815,41149,4,0
2832188,30599,39,1
548930,19057,23,1
523460,12260,6,0
3208288,36214,8,1
2435141,23634,21,0
939321,23405,37,1
2075210,29993,6,0
2696691,730,23,0
1787134,2326,16,0
1269354,21461,5,1
2677941,14647,14,0
2737770,19863,1,0
1884890,35221,6,1
2669406,33527,15,0
552573,48600,19,1
1350324,23879,6,1
1336986,13338,5,0
1862280,32052,33,0
1334642,23165,11,1
2822779,24852,1,1
630425,16797,23,1
2892101,9955,4,1
2095493,40593,10,0
1042602,12792,6,1
357219,35939,8,0
982272,21137,13,0
2201739,29079,17,0
792596,19261,1,1
2165909,5679,14,1
399774,11408,3,0
1311866,18641,15,1
3276518,11159,4,1
377673,5923,2,0
330650,39877,6,1
1211944,49113,6,1
2438300,10895,4,1
2292648,34943,12,0
2023441,44359,6,0
590740,44661,2,1
2312043,39275,14,1
679792,38342,15,0
1743216,24852,6,1
1389353,4210,6,1
2241046,2790,7,0
2196713,7076,23,1
172973,43961,5,0
2808986,2996,8,0
99788,9007,9,0
2178510,21096,15,1
1706187,34234,7,1
1052107,19248,7,0
52471,21616,3,1
2876152,17985,7,1
2931287,47626,3,0
3389699,19366,7,1
2690743,45603,2,1
2417502,20114,18,1
2098270,3583,7,1
1725772,33731,10,1
2964350,27992,14,1
2936173,23291,21,1
3223775,15937,11,0
2210477,30489,10,1
140034,39468,9,1
653029,47931,8,0
2704064,26608,18,1
1253639,24184,5,1
357671,19938,9,1
2469844,890,8,1
3133292,17630,12,0
961247,43988,4,1
1444100,22963,2,1
613206,45970,15,0
743969,7963,3,0
214474,4472,5,1
311215,21137,12,1
1787089,14154,9,1
2372184,37250,26,1
1475231,49,22,1
3328915,34466,7,0
2130991,9076,3,1
1320139,39621,17,1
776608,18811,16,1
616000,17530,2,0
3168349,35670,3,1
3343899,43500,17,1
418241,49131,15,0
1804006,17149,7,1
982509,42244,14,1
1765793,43821,3,1
1727749,41741,1,0
2069067,14084,7,1
1509505,260,13,0
2205576,43632,5,1
2779236,40214,41,1
789659,38159,15,1
2451950,14852,6,1
2129140,11078,19,1
2439305,38051,8,0
1689867,32689,3,1
942800,49175,14,1
224996,22035,1,1
2908689,25890,2,0
2930351,5884,15,0
1018098,24654,12,0
3277883,19003,15,1
2867944,27737,8,0
1483740,11737,18,0
2582440,37220,3,1
1870593,22035,1,1
2608186,21927,13,1
3169455,21137,7,1
670154,20842,11,0
2253952,45066,5,0
2156724,49139,1,1
1838641,2966,3,1
1539504,4792,15,1
2153860,29616,11,1
1697360,46667,13,1
1431505,21872,3,1
452197,31288,9,1
2071259,36226,13,1
2313078,41787,2,1
2281728,34502,14,0
1630072,41220,6,0
2481352,8277,2,1
924999,4697,2,1
1525010,27845,1,1
1669071,12250,13,1
3370558,10692,10,1
2343752,12087,11,1
2140459,13629,5,1
1823225,26668,26,1
306145,5876,9,1
1853566,35503,5,1
1767152,14881,16,0
2138000,21137,3,1
1170105,28698,2,0
2965259,15693,8,0
818839,47209,2,1
1655444,6818,9,1
2437330,21137,3,1
268208,30192,4,0
2558624,5612,9,1
1577283,20955,5,0
1882975,16683,2,0
3208882,38383,2,1
55045,7746,1,0
3165002,27521,6,0
1378601,22832,12,1
501148,17706,18,0
1240884,31487,13,1
147563,37417,4,1
1762104,4138,16,1
1781432,178,3,0
2120335,16797,3,0
2086812,26668,16,0
2318194,26165,1,0
83065,9438,4,1
243382,12075,4,1
1241142,4799,39,1
2988442,13780,7,1
125815,41690,18,0
2775919,8174,3,1
776670,32566,1,1
1033136,6194,7,0
2738963,16772,12,0
3053748,24184,5,1
1954470,22362,6,1
900424,27966,8,1
2025793,27966,6,1
172142,283,2,0
3084625,37710,3,1
1702665,32691,8,0
3078053,4957,15,0
281260,10158,8,0
1866819,3318,5,1
2442455,38622,8,1
